Make,Model,Year,Pros
Acura,TLX,2015,The TLX is the definition of smart luxury if you value the driving experience and appreciate Acura’s cutting edge technologies like 4-wheel steering or Super Handling All-Wheel Drive over the prestige bestowed by having a European badge on your car’s nose.
Acura,MDX,2020,Get Kelley Blue Book® Pricing
Acura,MDX,2019,"If you’re looking for a 3-row luxury-crossover SUV with a reputation for reliability, good resale value, premium amenities and strong safety/driver-assist features -- all at a price that undercuts European brands, the 2019 Acura MDX checks all the boxes. The hybrid MDX variant boasts higher fuel efficiency and a sophisticated all-wheel-drive system."
Acura,MDX,2018,"If you’re looking for a family-friendly 3-row SUV with strong performance, the highest safety ratings and a luxurious interior packed with technology, you’ll like the 2018 Acura MDX. The MDX Sport Hybrid also has a third row, while the Lexus RX 400h does not."
Acura,MDX,2017,"If you want a 3-row luxury SUV with standout safety features, a long list of amenities, plenty of power and a solid reputation, the 2017 Acura MDX is a smart choice. The high-tech drivetrain in the MDX Sport Hybrid adds a dose of high-performance driving to the mix."
Acura,MDX,2016,"If you’re looking for a luxury SUV big enough to hold the entire family, luxurious enough to impress the neighbors, and reliable enough to keep well past the last payment date, the 2015 Acura MDX is an easy pick."
Acura,MDX,2015,"If you’re looking for a luxury crossover SUV big enough to hold the entire family, luxurious enough to impress the neighbors, and reliable enough to keep well past the last payment date, the 2015 Acura MDX is an easy pick."
Acura,MDX,2014,"Looking for a no-compromises luxury SUV with comfortable accommodations for seven, exceptional urban maneuverability and a sticker price that won’t break the bank? The 2014 Acura MDX won’t disappoint. Above all, the MDX’s reputation for long-term reliability, low maintenance costs and upstanding resale value equates to one of the most rewarding ownership experiences in the business."
Acura,MDX,2013,"If you're shopping for a luxury SUV with seating for seven, an impeccable repair and resale record and a reasonable price, you needn't look any further than the 2013 Acura MDX.
"
Acura,MDX,2012,"Power, performance and usability make the 2012 Acura MDX an unusually capable premium midsize SUV. It also features a generous helping of clever, advanced technology."
Acura,MDX,2011,"The perfectly practical MDX is also one of the most powerful, most tech-savvy V6 SUVs on the road, giving it assured access to the top tier of any premium midsize SUV shopping list.
"
Acura,MDX,2010,"The perfectly practical MDX is also one of the most powerful, most tech-savvy V6 
SUV on the road, giving it assured access to the top tier of any premium midsize SUV shopping list."
Acura,MDX,2009,"The perfectly practical MDX is also one of the most powerful, most tech-savvy V6 
SUV on the road, giving it assured access to the top tier of any premium midsize SUV shopping list."
Acura,MDX,2008,"The perfectly practical MDX is also the most powerful, most tech-savvy V6 
SUV on the road, giving it assured access to the top tier of any premium midsize SUV shopping list."
Acura,MDX,2007,"The perfectly practical MDX is also the most powerful, most tech-savvy V6 
SUV on the road, giving it assured access to the top tier of any premium midsize SUV shopping list."
Acura,MDX,2006,"See how style, options and other factors can impact pricing in your area."
Acura,MDX,2005,"See how style, options and other factors can impact pricing in your area."
Acura,MDX,2004,"See how style, options and other factors can impact pricing in your area."
Acura,MDX,2003,"See how style, options and other factors can impact pricing in your area."
Acura,MDX,2002,"See how style, options and other factors can impact pricing in your area."
Acura,MDX,2001,"See how style, options and other factors can impact pricing in your area."
Acura,MDX Sport Hybrid,2019,"If you’re looking for a 3-row luxury-crossover SUV with a reputation for reliability, good resale value, premium amenities and strong safety/driver-assist features -- all at a price that undercuts European brands, the 2019 Acura MDX checks all the boxes. The hybrid MDX variant boasts higher fuel efficiency and a sophisticated all-wheel-drive system."
Acura,MDX Sport Hybrid,2018,"If you’re looking for a family-friendly 3-row SUV with strong performance, the highest safety ratings and a luxurious interior packed with technology, you’ll like the 2018 Acura MDX. The MDX Sport Hybrid also has a third row, while the Lexus RX 400h does not."
Acura,MDX Sport Hybrid,2017,"If you want a 3-row luxury SUV with standout safety features, a long list of amenities, plenty of power and a solid reputation, the 2017 Acura MDX is a smart choice. The high-tech drivetrain in the MDX Sport Hybrid adds a dose of high-performance driving to the mix."
Acura,RDX,2020,"You want a well-rounded package with an excellent record for reliability and strong resale values. The 2020 RDX definitely answers to that description, while adding plenty of features as standard, at prices that are competitive for the class."
Acura,RDX,2019,Only one engine choice
Acura,RDX,2018,"Acura’s RDX compact-crossover SUV for 2018 has a proven reputation for luxury, reliability and performance. The elegant interior is logically laid out, with the numerous user-friendly tech features logically arranged and easy to operate. The RDX’s reasonable price undercuts many competitors, as does its excellent resale history."
Acura,RDX,2017,Acura’s RDX compact-luxury SUV for 2017 combines sporty good looks with impressive power and handling in a package that isn’t overly complex or ornate. The RDX’s reasonable pricing is bolstered by its ability to hold its value better than almost all challengers.
Acura,RDX,2016,"The 2016 Acura RDX offers up all the technology and creature comforts of a modern luxury SUV, but with a reasonable price and excellent long-term reliability. Combine that with above-average resale value, and suddenly it's hard to argue against this 5-passenger SUV."
Acura,RDX,2015,The 2015 RDX is the ideal choice if you want a luxury SUV but not the sticker shock and questionable reliability that can be associated with one. Above-average resale value and Acura's reputation for quality add further peace of mind.
Acura,RDX,2014,"The 2014 Acura RDX is the clear choice for those who have grown weary of the complex ordering guides, pricey options and questionable reliability associated with many of today’s luxury SUVs. Exceptional resale value combined with Acura’s well-established reputation for quality offers prospective RDX owners an added measure of peace of mind."
Acura,RDX,2013,"If you’re looking for a smaller, premium SUV with plenty of comfort, value, performance, and predicted reliability, put the RDX on your shopping list. In those latter aspects, as well as some styling cues, the RDX may remind you of an upscale CR-V – not surprising, since Acura is Honda’s luxury division."
Acura,RDX,2012,"If you are searching for a small luxury SUV with an array of standard features at a value price, the Acura RDX offers Honda's legendary reputation for reliability and resale value along with an attractive sticker price.
"
Acura,RDX,2011,"If you enjoy the smaller - albeit practical - footprint of a compact SUV, Acura's take offers Honda's reputation for service, reliability and resale value, wrapped in a package significantly more upscale than its CR-V stablemate. Add the benefits of Acura's SH-AWD, and the RDX is truly an SUV for all seasons."
Acura,RDX,2010,"If you're looking for small, high-performance luxury 
SUV that also has an outstanding reputation for service, reliability and resale, the 
2010 Acura RDX makes the perfect choice."
Acura,RDX,2009,"If you're looking for small, high-performance luxury 
SUV that also has an outstanding reputation for service, reliability and resale, the RDX make the perfect choice."
Acura,RDX,2008,Delivering a convincing combination of performance and functionality---topped off by a premium badge and numerous features---there isn't much not to like about the 2008 Acura RDX.
Acura,RDX,2007,"Delivering a convincing combination of performance and functionality - topped off by a premium badge and numerous features - there isn't much not to like about the 
Acura RDX."
Acura,NSX,2019,"If you’re looking for something more exotic than a Chevy Corvette that doesn’t cost as much as a house, the 2019 Acura NSX makes a nice compromise. Civilized, comfortable and reliable, the NSX is a world-class performer with a 21st-century powertrain. "
Acura,NSX,2018,"If you desire a sophisticated and technically advanced 2-seat supercar with exotic design, everyday civility and world-class speed and performance, you’ll like the 2018 Acura NSX."
Acura,NSX,2017,"If the combination of classic high-performance and new-age hybrid power in an all-wheel-drive supercar resonates with your inner being, the new Acura NSX deserves a spot on your must-drive list."
Acura,NSX,2005,"See how style, options and other factors can impact pricing in your area."
Acura,NSX,2004,"See how style, options and other factors can impact pricing in your area."
Acura,NSX,2003,"See how style, options and other factors can impact pricing in your area."
Acura,NSX,2002,"See how style, options and other factors can impact pricing in your area."
Acura,NSX,2001,"See how style, options and other factors can impact pricing in your area."
Acura,NSX,2000,"See how style, options and other factors can impact pricing in your area."
Acura,NSX,1999,"See how style, options and other factors can impact pricing in your area."
Acura,NSX,1998,"See how style, options and other factors can impact pricing in your area."
Acura,NSX,1997,"See how style, options and other factors can impact pricing in your area."
Acura,NSX,1996,"See how style, options and other factors can impact pricing in your area."
Acura,NSX,1995,"See how style, options and other factors can impact pricing in your area."
Acura,NSX,1994,"See how style, options and other factors can impact pricing in your area."
Acura,NSX,1993,"See how style, options and other factors can impact pricing in your area."
Acura,NSX,1992,"See how style, options and other factors can impact pricing in your area."
Alfa Romeo,Giulia,2019,"The only Italian car in its class, the Alfa Romeo Giulia also stands out with its stylish design, potent performance and the fact that you just won’t see that many others on the road. If you like all this and want to brag that you have a Ferrari-derived engine, the Giulia Quadrifoglio is an absolute howl to drive."
Alfa Romeo,Giulia,2018,"If you’re looking for a sexy small-sports sedan with turbocharged horsepower, room for five and a starting price below $40,000, you’ll like the new Alfa Romeo Giulia. And if you’re looking to outrun and out-style your friend’s BMW M3, then you’ll love the 505-horsepower Giulia Quadrifoglio."
Alfa Romeo,Giulia,2017,"…you have a hankering to someday own a sporty Italian sedan that displays certain flair in the way it looks, and more important, in the way it drives."
Alfa Romeo,Stelvio,2019,"If you’re shopping the compact-luxury-SUV market and find there are just too many Audi, BMW and Lexus clones in your local Neiman Marcus parking lot, you can make a statement with the 2019 Alfa Romeo Stelvio. The potent Quadrifoglio will make BMW M and Audi RS owners sit up and take notice."
Alfa Romeo,Stelvio,2018,"If you want a 2-row/5-passenger compact-luxury SUV that stands out with its design, athletic manners and sheer newness, the 2018 Alfa Romeo Stelvio checks all the boxes. If you've simply been waiting for an Italian SUV at a reasonable price, the Stelvio's sub-$43,000 starting point is tempting."
Alfa Romeo,4C,2018,Get Kelley Blue Book® Pricing
Alfa Romeo,4C,2017,"This is a driver's car in the truest sense. It responds telepathically to your every desire, its inputs are immediately responsive, and the steering feels glorious in your hands. It's not comfortable, but when put to the task of rewarding a good driver, the Alfa Romeo 4C is virtually without equal."
Alfa Romeo,4C,2016,"If you want an automobile that feels telepathic in how it responds to your inputs, the 2016 Alfa Romeo 4C or 4C Spider is that car. Although the stylish 4C is not the most comfortable car, you’ll forget about such things on a gloriously twisty road."
Alfa Romeo,4C,2015,"If you crave an unvarnished connection between you, your car, and the road you’re traveling over, the 2015 Alfa Romeo 4C is a brilliant choice. Conversely if you’re willing to endure a pronounced lack of comfort, the 4C’s neck snapping style will be your reward."
Alfa Romeo,4C Spider,2019,"If you want a hand-built, lightweight, hard-core performance car akin to the no-longer-available Lotus Elise, check out the Alfa Romeo 4C. Thanks to its turbocharged 4-cylinder engine and tidy size, this 2-seater appeals to those who appreciate the less-is-more mantra."
Alfa Romeo,4C Spider,2018,"If you’re looking for a pure driver’s car, one specifically designed for the track but that’s also street legal, the 2018 Alfa Romeo 4C is it. Once in motion, the driver practically becomes one with the car, and while the ride can be uncomfortable, the driving experience is simply exquisite."
Alfa Romeo,4C Spider,2016,"If you want an automobile that feels telepathic in how it responds to your inputs, the 2016 Alfa Romeo 4C or 4C Spider is that car. Although the stylish 4C is not the most comfortable car, you’ll forget about such things on a gloriously twisty road."
Alfa Romeo,4C Spider,2015,"If you crave an unvarnished connection between you, your car, and the road you’re traveling over, the 2015 Alfa Romeo 4C is a brilliant choice. Conversely if you’re willing to endure a pronounced lack of comfort, the 4C’s neck snapping style will be your reward."
Aston Martin,DB11,2018,"If you love getting admiring glances from complete strangers, the 2018 Aston Martin DB11 will gain you numerous new friends. Those seeking both beauty and brawn will find much to like about this sleek 4-seat coupe. A limited number of vehicles and dealers provide an added level of exclusivity. "
Aston Martin,DB11,2017,"Buy a DB11 and you should expect attention from strangers. Depending on your disposition that attention could be the primary reason for purchase, a meaningless distraction, or simply the icing on a beautiful Aston cake. Rest assured the sultry DB transcends its superficial allure with genuine dynamic joys."
Aston Martin,Vanquish S,2018,"If you’re seeking an exotic, hand-built GT with an unquestioned heritage, gobs of power and a stunning exterior, the 2018 Aston Martin Vanquish S coupe or Volante convertible certainly deserves a test drive."
Aston Martin,Vanquish S,2006,"See how style, options and other factors can impact pricing in your area."
Aston Martin,Vanquish S,2005,"See how style, options and other factors can impact pricing in your area."
Audi,A3,2019,"If rear-seat comfort isn’t of importance, opting for the smaller A3 over the A4 will save you money, which you can then put toward some pretty cool options. Sun lovers should note the A3 Cabriolet costs thousands less than the BMW 2 Series convertible, while the S3 ups the performance quotient but also the price."
Audi,A3,2018,"With a base price starting around $33,000, it’s easy to load up a 2018 Audi A3 Sedan or Cabriolet convertible with familiar Audi luxury features and still walk away for less than $40K. The sport-oriented S3 and RS 3 offer sizzling performance, but at a hefty price."
Audi,A3,2017,"Audi fans on a budget won’t be disappointed with what $35,000 can buy them. The A3’s styling isn’t as flamboyant as some rivals, but its sleek, conservative skin is exactly what attracts so many people to the brand. Available quattro all-wheel drive makes the littlest Audi even more enticing."
Audi,A3,2016,"If you like the Audi ownership experience, but are on a tight budget, an A3 is an obvious choice. Offering more conservative styling than the Mercedes-Benz CLA, but with the luxury pedigree of a decades-old European brand, the Audi A3 also offers the only diesel engine in the class."
Audi,A3,2015,"You'll like the Audi A3 if you're in the market for a smaller and consequently cheaper 
luxury car. More traditional than the Mercedes-Benz CLA and more legit than the Acura ILX, the new A3 feels like a real-deal premium car, and an available diesel engine is unique to the class."
Audi,A3,2013,"If you're seeking a compact wagon with the virtues of all-wheel drive or superior fuel-efficiency, there are a number of choices. But, if you want one that also delivers dynamic handling, upscale refinement and an enviable pedigree, the 2013 Audi A3 tops a very short list."
Audi,A3,2012,"If you are looking for a vehicle that mixes practicality with dynamic handling, the 2012 Audi A3 will fit the bill. While there are several sensible alternatives including the 
Volkswagen GTI and 
Lexus CT 200h, the 2012 Audi A3 delivers a unique blend of excitement and refinement its competitors simply cannot match."
Audi,A3,2011,"If you enjoy the comfort and composure typical of a European sport 
sedan, but also demand some degree of versatility, the A3 is hard to fault. And while VW's GTI rides on the same platform - and has a similar level of detailing inside - the Audi delivers a level of maturity its corporate sibling can't match."
Audi,A3,2010,"Hungering for a European sports 
sedan like an 
Audi A4, 
BMW 3 Series or 
Mercedes-Benz C-Class, but can't quite justify the expense? If so, the 2010 Audi A3's taut handling, sophisticated design and hatchback versatility, at a price lower than those worthy machines, could make this car a keeper."
Audi,A3,2009,"Hungering for a European sports 
sedan like an 
Audi A4, 
BMW 3 Series or 
Mercedes-Benz C-Class, but can't quite justify the expense? If so, the 2009 Audi A3's taut handling, sophisticated design and hatchback versatility, at a price lower than those worthy machines, could make this car a keeper."
Audi,A3,2008,"Hungering for a European sports 
sedan like an 
Audi A4, 
BMW 3 Series or 
Mercedes-Benz C-Class, but can't quite justify the expense? If so, the 2008 Audi A3's taut handling, sophisticated design and hatchback versatility, at a price lower than those worthy machines, could make this car a keeper."
Audi,A3,2007,"Hungering for a European sports 
sedan like an 
Audi A4, 
BMW 3 Series or 
Mercedes-Benz C-Class, but can't quite justify the expense? If so, the A3's taut handling, sophisticated design and hatchback versatility, at a price lower than those worthy machines, could make this car a keeper."
Audi,A3,2006,"See how style, options and other factors can impact pricing in your area."
Audi,A4,2019,"Audi’s 2019 A4 and S4 sedans roll style, performance and technology into a car that is amazingly competent, reasonably priced and filled with features to delight the senses and make driving a joy. The A4’s available quattro all-wheel drive (AWD) improves traction on both dry and wet pavement without severely penalizing fuel economy."
Audi,A4,2018,"Audi’s A4 sedan for 2018 offers a nearly unbeatable combination of style, technology, luxury and performance, all at a price that may come as a shock to some competitors. With quattro all-wheel drive (AWD) standard on most models, the A4 even has a leg up in the traction and stability department."
Audi,A4,2017,"Audi A4 fans are going to love it, that's for certain. But if you're looking for a luxury sedan that's great to drive, offers class-leading technology, looks great and is even a bargain in its market segment, you'll be hard-pressed to do better than the 2017 Audi A4."
Audi,A4,2016,"Whether you’re looking for a modestly priced luxury sedan or a not-so-modestly priced performance machine, the 2016 Audi A4 and S4 sedans offer a wide range of models and pricing. Audi’s interior designs will take your breath away, as will the dizzying array of high-tech options."
Audi,A4,2015,"If you’re seeking a car that regularly qualifies as one of the best luxury car buys year after year, Audi’s A4 and S4 performance sedans for 2015 won’t disappoint. Excellent performance without a harsh ride complement the A4’s stunning interior, whisper-quite cabin, and user-friendly electronic interfaces."
Audi,A4,2014,"Here's a list of why: Want a gorgeous ride with a great driving experience, impeccable luxury, cradling comfort, generous interior space, exquisite refinement, superb driving manners, quick performance, welcome efficiency, and a first-class image? Try Audi’s A4 sedan line-up."
Audi,A4,2013,"The Q5 has effortlessly blended elegant looks, premium interiors and good power since its introduction in 2009. The Q5's appeal continues to strengthen with new powerplants, a host of high-tech features, and strong resale value.
"
Audi,A4,2012,"Fuel efficiency, excellent styling and a well-crafted interior are hallmarks of the 2012 Audi A4 line. Buyers searching for an attractive sport sedan with appropriate levels of standard equipment and a host of available technology will find the 2012 Audi A4 very appealing."
Audi,A4,2011,"Shoppers intent on purchasing a stylish, entry-level premium sport sedan (or wagon) – one that delivers efficiency and performance in equal doses at a relatively affordable price – would be well-advised to check out the 2011 Audi A4."
Audi,A4,2010,"If you're looking for a midsize luxury sedan that appeals to drivers with its on-road performance and to passengers with its well-designed interior, the 2010 Audi A4 deserves your attention. Class-leading fuel economy, a noteworthy list of standard equipment and a reasonable starting price certainly don't hurt, either."
Audi,A4,2009,"If you want a fun-to-drive 
convertible that doesn't skimp on luxury, the 
2009 Audi A4 Cabriolet is a viable alternative to the omnipresent 
BMW 3 Series. Soft-top purists will find this is one of the last of the breed."
Audi,A4,2008,"If you like the idea of paying thousands less for a European sports 
sedan that is as frugal with fuel as it is quick off the line, you'll be hard-pressed to find a better choice than the A4. Optional quattro all-wheel drive is a bonus for snow belt residents."
Audi,A4,2007,"If you like the idea of paying thousands less for a European sports 
sedan that is as frugal with fuel as it is quick off the line, you'll be hard-pressed to find a better choice than the A4. Optional quattro all-wheel drive is a bonus for Snow Belt residents."
Audi,A4,2006,"See how style, options and other factors can impact pricing in your area."
Audi,A4,2005,"See how style, options and other factors can impact pricing in your area."
Audi,A4,2004,"See how style, options and other factors can impact pricing in your area."
Audi,A4,2003,"See how style, options and other factors can impact pricing in your area."
Audi,A4,2002,"See how style, options and other factors can impact pricing in your area."
Audi,A4,2001,"See how style, options and other factors can impact pricing in your area."
Audi,A4,2000,"See how style, options and other factors can impact pricing in your area."
Audi,A4,1999,"See how style, options and other factors can impact pricing in your area."
Audi,A4,1998,"See how style, options and other factors can impact pricing in your area."
Audi,A4,1997,"See how style, options and other factors can impact pricing in your area."
Audi,A4,1996,"See how style, options and other factors can impact pricing in your area."
Audi,A5,2019,"The A5 hits the sweet spot whether you’re just starting a family or ready for retirement. It’s athletic yet fuel-efficient, with progressive technology not so advanced as not to be non-user-friendly. The A5 and S5 Sportback are ideal choices for those unimpressed by the coming SUV apocalypse."
Audi,A5,2018,"Whether you're a young professional who is pre-family or an empty-nester ready to drive a fun and stylish luxury coupe or convertible, the 2018 Audi A5 will scratch that itch and make a statement while doing so. The practical A5 Sportback, meanwhile, can seat five and boasts a spacious rear hatch."
Audi,A5,2016,"If you want a beautiful life, or want your life to be more beautiful, then parking a new Audi A5 Coupe or A5 Cabriolet in your driveway is a good way to start. The fact that it's a terrific all-around driving experience conducted in sumptuous luxury is practically a bonus."
Audi,A5,2015,"If you think your car should reflect your life, and you live a particularly beautiful life, then the Audi A5 Coupe and Cabriolet are your mirror. The fact that it's a terrific all-around driving experience conducted in sumptuous luxury is practically a bonus."
Audi,A5,2014,"The A5 Coupe and Cabriolet are Audi’s contributions to the nation’s Highway Beautification Program. If that appeals to you, and in the bargain you get a terrific all-around driving experience conducted in sumptuous luxury, then this is your ride."
Audi,A5,2013,"The 2013 Audi A5 series provides the kind of grace and beauty seemingly lost on so many cars today, yet doesn't sacrifice comfort or confidence in the process. Fuel economy and power go hand-in-hand with the A5, and most models can be equipped with a manual transmission."
Audi,A5,2012,"The 2012 Audi A5 line continues to offer buyers beautiful, emotive styling that walks the line between grace and aggression. In addition, fuel-efficient powertrain options and the availability of Audi's quattro all-wheel drive system make the Coupes and Cabriolets attractive choices."
Audi,A5,2011,"In a word (or two), Audi's take on the near-luxury coupe and cab encloses a competent drivetrain and comfortable accommodation with what is generally accepted as drop-dead gorgeous sheetmetal. If you are at the life stage which puts a value on at least two of the above three, you'll love Audi's take on two-door transport."
Audi,A5,2010,"Coupe fans shopping for a well-rounded package with high-profile looks, impressive performance and plenty of practicality are going to find a lot to like in the 
2010 Audi A5."
Audi,A5,2009,"Coupe fans shopping for a well-rounded package with high-profile looks, impressive performance and plenty of practicality are going to find a lot to like in the 
2009 Audi A5."
Audi,A5,2008,"Coupe fans shopping for a well-rounded package with high-profile looks, impressive performance and plenty of practicality are going to find a lot to like in the new 
Audi A5."
Audi,A6,2019,"If you don’t want to see yourself coming and going (as you might in an E-Class or a 5 Series), but still want to treat yourself to a beautifully crafted midsize German sedan, the A6 delivers. Standard Quattro all-wheel drive (AWD) makes the A6 a true all-weather friend."
Audi,A6,2018,"The Audi A6 sedan resides where luxury, performance, technology and sophistication meet. If that sounds like your sweet spot, start planning a test drive. If you're looking for a high-performance alternative to a V8-powered BMW M550i or Mercedes-AMG E43, the S6 packs a wallop."
Audi,A6,2017,"If you’re looking for a luxury car that knows what the word “luxury” should mean, Audi’s A6 sedan for 2017 will likely meet your criteria. The new Competition trim delivers a sportier ride, while the V8-powered S6 is every bit the equal of the BMW M and Mercedes-Benz AMG trims."
Audi,A6,2016,"If you demand a high-quality interior and the best navigation system currently available on the market, the 2016 Audi A6 sedan is for you. Add on the available S6 model that’s bursting at the seams with performance or the fuel efficient 3.0-liter V6 turbodiesel engine and the new A6 becomes impossible to ignore."
Audi,A6,2015,"If you think the BMW 5 Series could have a better ride and a more luxurious interior, then the 2015 Audi A6 might fit the bill – doubly so if you seek high performance with the S6. An excellent audio system and quattro all-wheel drive (AWD), makes the A6 nearly irresistible."
Audi,A6,2014,"If you love the performance feel of the 
BMW 5 Series, but not the firm ride and somewhat sterile interior, you’ll likely be drawn to the 2014 Audi A6. Cutting-edge audio and electronics along with quattro all-wheel drive (AWD) make the A6 nearly irresistible, as does its impressive fuel economy."
Audi,A6,2013,"If you find the Mercedes-Benz E-Class too stodgy and the BMW 5 Series too sterile, you might fall in love with the 2013 Audi A6. Its design is rich but contemporary, tech options are category-leading and it strikes an impressive balance of around-town ease and at-the-limits poise."
Audi,A6,2012,"If you find the Mercedes-Benz E-Class too stodgy and the BMW 5 Series too sterile, you might fall in love with the all-new 2012 Audi A6 and its rich but contemporary design, category-leading tech options and/or its unique balance of around-town ease and at-the-limits poise.
"
Audi,A6,2011,"See how style, options and other factors can impact pricing in your area."
Audi,A6,2010,"If you're in the market for a premium sedan whose road manners are as smart as its styling and price, the 
2010 Audi A6 should be on your list. Those who live in foul-weather regions will appreciate the impressive capabilities afforded by the A6's available quattro all-wheel drive."
Audi,A6,2009,"If you're in the market for a premium 
sedan whose road manners are as smart as its styling and price, the 
2009 Audi A6 should be on your list. Those who live in foul-weather regions will appreciate the impressive capabilities afforded by the A6's quattro all-wheel drive."
Audi,A6,2008,"If you're in the market for a premium 
sedan whose road manners are as smart as its styling and price, the 
2008 Audi A6 should be on your list. Those who live in foul-weather regions will appreciate the impressive capabilities afforded by the A6's quattro all-wheel drive."
Audi,A6,2007,"If you're in the market for a premium 
sedan whose road manners are as smart as its styling and price, the A6 should be on your list. Those who live in foul-weather regions will appreciate the impressive abilities afforded by the A6's quattro all-wheel drive."
Audi,A6,2006,"See how style, options and other factors can impact pricing in your area."
Audi,A6,2005,"See how style, options and other factors can impact pricing in your area."
Audi,A6,2004,"See how style, options and other factors can impact pricing in your area."
Audi,A6,2003,"See how style, options and other factors can impact pricing in your area."
Audi,A6,2002,"See how style, options and other factors can impact pricing in your area."
Audi,A6,2001,"See how style, options and other factors can impact pricing in your area."
